Ticker,Price,Currency,Signal,Confidence (%)
HPG.VN,21.85,VND,SELL/HOLD 🔴,47.97
STB.VN,72.7,VND,SELL/HOLD 🔴,47.54
META,585.61,USD,SELL/HOLD 🔴,47.38
FPT.VN,66.9,VND,SELL/HOLD 🔴,47.11
TSLA,298.32,USD,SELL/HOLD 🔴,45.46
AAPL,338.19,USD,SELL/HOLD 🔴,44.88
VCB.VN,56.4,VND,SELL/HOLD 🔴,44.53
V,368.73,USD,SELL/HOLD 🔴,44.35
SSI.VN,24.05,VND,SELL/HOLD 🔴,43.13
VND.VN,17.05,VND,SELL/HOLD 🔴,40.5
VHM.VN,147.8,VND,SELL/HOLD 🔴,39.98
ACB.VN,22.4,VND,SELL/HOLD 🔴,39.85
WMT,114.22,USD,SELL/HOLD 🔴,39.68
AMZN,226.65,USD,SELL/HOLD 🔴,39.27
JPM,344.71,USD,SELL/HOLD 🔴,39.09
MBB.VN,22.5,VND,SELL/HOLD 🔴,37.75
TCB.VN,29.3,VND,SELL/HOLD 🔴,37.43
GOOGL,336.71,USD,SELL/HOLD 🔴,36.49
MSFT,390.54,USD,SELL/HOLD 🔴,34.52
VIC.VN,219.8,VND,SELL/HOLD 🔴,33.83
VIC.VN,219.8,VND,SELL/HOLD 🔴,33.83
VIC.VN,219.8,VND,SELL/HOLD 🔴,33.83
MWG.VN,70.1,VND,SELL/HOLD 🔴,33.42
GAS.VN,69.1,VND,SELL/HOLD 🔴,32.62
NVDA,190.01,USD,SELL/HOLD 🔴,29.42
